data,mes,dia_semana,maquina,tipo_maquina,turno,operador,producao,capacidade_maxima,tempo_parado_min,motivo_parada,temperatura_celsius
24/02/2025,February 2025,Monday,M5,Solda Robotica,Manhã,Maria Lima,129.0,120,0,Sem parada,82.2
26/03/2025,March 2025,Wednesday,M1,Torno CNC,Tarde,Carlos Silva,150.0,160,0,Sem parada,67.4
26/03/2025,March 2025,Wednesday,M3,Prensa Hidráulica,Tarde,Ana Souza,136.0,140,0,Sem parada,85.5
12/06/2025,June 2025,Thursday,M5,Solda Robotica,Tarde,Maria Lima,123.0,120,0,Sem parada,69.7
16/05/2025,May 2025,Friday,M3,Prensa Hidráulica,Noite,Ana Souza,138.0,140,0,Sem parada,91.1
25/04/2025,April 2025,Friday,M2,Fresadora,Tarde,Ana Souza,189.0,180,0,Sem parada,84.0
22/04/2025,April 2025,Tuesday,M1,Torno CNC,Manhã,Ana Souza,158.0,160,0,Sem parada,72.3
21/03/2025,March 2025,Friday,M1,Torno CNC,Manhã,Pedro Santos,174.0,160,0,Sem parada,74.4
25/04/2025,April 2025,Friday,M1,Torno CNC,Manhã,Carlos Silva,160.0,160,0,Sem parada,78.7
27/03/2025,March 2025,Thursday,M4,Injetora,Noite,Maria Lima,180.0,200,0,Sem parada,99.6
22/04/2025,April 2025,Tuesday,M2,Fresadora,Noite,Ana Souza,166.0,180,0,Sem parada,80.2
10/06/2025,June 2025,Tuesday,M2,Fresadora,Manhã,Maria Lima,183.0,180,-4,Sem parada,91.9
29/01/2025,January 2025,Wednesday,M3,Prensa Hidráulica,Tarde,João Pereira,167.0,140,0,Sem parada,90.6
21/05/2025,May 2025,Wednesday,M5,Solda Robotica,Manhã,Pedro Santos,102.0,120,0,Sem parada,68.1
17/06/2025,June 2025,Tuesday,M2,Fresadora,Tarde,Pedro Santos,168.0,180,0,Sem parada,79.7
01/05/2025,May 2025,Thursday,M1,Torno CNC,Manhã,Carlos Silva,164.0,160,0,Sem parada,76.9
18/03/2025,March 2025,Tuesday,M1,Torno CNC,Manhã,João Pereira,161.0,160,0,Sem parada,67.8
11/04/2025,April 2025,Friday,M1,Torno CNC,Manhã,Carlos Silva,145.0,160,0,Sem parada,76.2
