data,mes,dia_semana,maquina,tipo_maquina,turno,operador,producao,capacidade_maxima,tempo_parado_min,motivo_parada,temperatura_celsius,eficiencia,status,producao_normalizada,mes_num
2025-02-24,February 2025,Monday,M5,Solda Robotica,Manhã,Maria Lima,129.0,120,0.0,Sem parada,82.2,1.0,Ótimo,0.23776223776223776,2
2025-03-26,March 2025,Wednesday,M1,Torno CNC,Tarde,Carlos Silva,150.0,160,0.0,Sem parada,67.4,0.9375,Ótimo,0.38461538461538464,3
2025-03-26,March 2025,Wednesday,M3,Prensa Hidráulica,Tarde,Ana Souza,136.0,140,0.0,Sem parada,85.5,0.9714285714285714,Ótimo,0.2867132867132867,3
2025-06-12,June 2025,Thursday,M5,Solda Robotica,Tarde,Maria Lima,123.0,120,0.0,Sem parada,69.7,1.0,Ótimo,0.1958041958041958,6
2025-05-16,May 2025,Friday,M3,Prensa Hidráulica,Noite,Ana Souza,138.0,140,0.0,Sem parada,91.1,0.9857142857142858,Ótimo,0.3006993006993007,5
2025-04-25,April 2025,Friday,M2,Fresadora,Tarde,Ana Souza,189.0,180,0.0,Sem parada,84.0,1.0,Ótimo,0.6573426573426573,4
2025-04-22,April 2025,Tuesday,M1,Torno CNC,Manhã,Ana Souza,158.0,160,0.0,Sem parada,72.3,0.9875,Ótimo,0.4405594405594406,4
2025-03-21,March 2025,Friday,M1,Torno CNC,Manhã,Pedro Santos,174.0,160,0.0,Sem parada,74.4,1.0,Ótimo,0.5524475524475524,3
2025-04-25,April 2025,Friday,M1,Torno CNC,Manhã,Carlos Silva,160.0,160,0.0,Sem parada,78.7,1.0,Ótimo,0.45454545454545453,4
2025-03-27,March 2025,Thursday,M4,Injetora,Noite,Maria Lima,180.0,200,0.0,Sem parada,99.6,0.9,Ótimo,0.5944055944055944,3
2025-04-22,April 2025,Tuesday,M2,Fresadora,Noite,Ana Souza,166.0,180,0.0,Sem parada,80.2,0.9222222222222223,Ótimo,0.4965034965034965,4
2025-06-10,June 2025,Tuesday,M2,Fresadora,Manhã,Maria Lima,183.0,180,0.0,Sem parada,91.9,1.0,Ótimo,0.6153846153846154,6
2025-01-29,January 2025,Wednesday,M3,Prensa Hidráulica,Tarde,João Pereira,167.0,140,0.0,Sem parada,90.6,1.0,Ótimo,0.5034965034965035,1
2025-05-21,May 2025,Wednesday,M5,Solda Robotica,Manhã,Pedro Santos,102.0,120,0.0,Sem parada,68.1,0.85,Ótimo,0.04895104895104895,5
2025-06-17,June 2025,Tuesday,M2,Fresadora,Tarde,Pedro Santos,168.0,180,0.0,Sem parada,79.7,0.9333333333333333,Ótimo,0.5104895104895105,6
2025-05-01,May 2025,Thursday,M1,Torno CNC,Manhã,Carlos Silva,164.0,160,0.0,Sem parada,76.9,1.0,Ótimo,0.4825174825174825,5
2025-03-18,March 2025,Tuesday,M1,Torno CNC,Manhã,João Pereira,161.0,160,0.0,Sem parada,67.8,1.0,Ótimo,0.46153846153846156,3
2025-04-11,April 2025,Friday,M1,Torno CNC,Manhã,Carlos Silva,145.0,160,0.0,Sem parada,76.2,0.90625,Ótimo,0.34965034965034963,4
2025-02-06,February 2025,Thursday,M2,Fresadora,Tarde,Carlos Silva,177.0,180,5.0,Setup de máquina,76.7,0.9833333333333333,Ótimo,0.5734265734265734,2
2025-03-13,March 2025,Thursday,M5,Solda Robotica,Manhã,Ana Souza,106.0,120,45.0,Manutenção preventiva,71.8,0.8833333333333333,Ótimo,0.07692307692307693,3
2025-01-09,January 2025,Thursday,M4,Injetora,Manhã,Pedro Santos,200.0,200,0.0,Sem parada,89.3,1.0,Ótimo,0.7342657342657343,1
2025-04-09,April 2025,Wednesday,M3,Prensa Hidráulica,Tarde,Ana Souza,148.0,140,0.0,Sem parada,87.4,1.0,Ótimo,0.3706293706293706,4
2025-02-04,February 2025,Tuesday,M3,Prensa Hidráulica,Tarde,Carlos Silva,151.0,140,0.0,Sem parada,117.85,1.0,Ótimo,0.3916083916083916,2
2025-01-23,January 2025,Thursday,M4,Injetora,Noite,Ana Souza,177.0,200,0.0,Sem parada,97.8,0.885,Ótimo,0.5734265734265734,1
2025-05-07,May 2025,Wednesday,M5,Solda Robotica,Noite,Ana Souza,112.0,120,0.0,Sem parada,67.6,0.9333333333333333,Ótimo,0.11888111888111888,5
2025-01-23,January 2025,Thursday,M5,Solda Robotica,Noite,João Pereira,120.0,120,0.0,Sem parada,65.8,1.0,Ótimo,0.17482517482517482,1
2025-04-25,April 2025,Friday,M5,Solda Robotica,Noite,João Pereira,120.0,120,0.0,Sem parada,60.4,1.0,Ótimo,0.17482517482517482,4
2025-05-20,May 2025,Tuesday,M4,Injetora,Manhã,Ana Souza,181.0,200,0.0,Sem parada,107.1,0.905,Ótimo,0.6013986013986014,5
2025-04-16,April 2025,Wednesday,M3,Prensa Hidráulica,Tarde,Carlos Silva,147.0,140,0.0,Sem parada,96.0,1.0,Ótimo,0.36363636363636365,4
2025-02-03,February 2025,Monday,M2,Fresadora,Noite,Maria Lima,172.0,180,0.0,Sem parada,90.2,0.9555555555555556,Ótimo,0.5384615384615384,2
2025-01-22,January 2025,Wednesday,M3,Prensa Hidráulica,Noite,Pedro Santos,146.0,140,0.0,Sem parada,93.8,1.0,Ótimo,0.35664335664335667,1
2025-06-17,June 2025,Tuesday,M4,Injetora,Manhã,Pedro Santos,219.0,200,0.0,Sem parada,93.0,1.0,Ótimo,0.8671328671328671,6
2025-05-06,May 2025,Tuesday,M5,Solda Robotica,Manhã,Maria Lima,123.0,120,0.0,Sem parada,77.2,1.0,Ótimo,0.1958041958041958,5
2025-05-26,May 2025,Monday,M1,Torno CNC,Noite,Carlos Silva,148.0,160,0.0,Sem parada,81.4,0.925,Ótimo,0.3706293706293706,5
2025-01-28,January 2025,Tuesday,M5,Solda Robotica,Manhã,Carlos Silva,129.0,120,0.0,Sem parada,67.4,1.0,Ótimo,0.23776223776223776,1
2025-06-02,June 2025,Monday,M3,Prensa Hidráulica,Noite,Ana Souza,130.0,140,0.0,Sem parada,86.4,0.9285714285714286,Ótimo,0.24475524475524477,6
2025-03-04,March 2025,Tuesday,M5,Solda Robotica,Noite,Ana Souza,106.0,120,0.0,Sem parada,68.9,0.8833333333333333,Ótimo,0.07692307692307693,3
2025-03-17,March 2025,Monday,M3,Prensa Hidráulica,Tarde,Maria Lima,134.0,140,0.0,Sem parada,85.2,0.9571428571428572,Ótimo,0.2727272727272727,3
2025-06-13,June 2025,Friday,M1,Torno CNC,Noite,Carlos Silva,165.0,160,0.0,Sem parada,77.4,1.0,Ótimo,0.48951048951048953,6
2025-03-04,March 2025,Tuesday,M4,Injetora,Tarde,João Pereira,202.0,200,0.0,Sem parada,95.0,1.0,Ótimo,0.7482517482517482,3
2025-01-20,January 2025,Monday,M1,Torno CNC,Tarde,Maria Lima,134.0,160,28.0,Falha mecânica,84.2,0.8375,Normal,0.2727272727272727,1
2025-05-16,May 2025,Friday,M4,Injetora,Manhã,Carlos Silva,216.0,200,19.0,Setup de máquina,99.9,1.0,Ótimo,0.8461538461538461,5
2025-01-10,January 2025,Friday,M3,Prensa Hidráulica,Manhã,Carlos Silva,147.0,140,0.0,Sem parada,81.9,1.0,Ótimo,0.36363636363636365,1
2025-01-27,January 2025,Monday,M1,Torno CNC,Manhã,Ana Souza,170.0,160,0.0,Sem parada,69.4,1.0,Ótimo,0.5244755244755245,1
2025-04-22,April 2025,Tuesday,M3,Prensa Hidráulica,Tarde,João Pereira,126.0,140,49.0,Falha mecânica,86.2,0.9,Ótimo,0.21678321678321677,4
